tp_pp_ep,label,scale,dp,gbs,tflop,mfu_pct,peak_tflops
4/2/1,TP4 PP2,16,2,2048,125.5,42.86,292.79
4/2/1,TP4 PP2,32,4,2048,125.6,42.9,292.79
4/2/1,TP4 PP2,64,8,2048,107.05,36.56,292.79
4/2/1,TP4 PP2,128,16,2048,108.4,37.02,292.79
4/4/1,TP4 PP4,16,1,2048,104.3,35.62,292.79
4/4/1,TP4 PP4,32,2,2048,104.8,35.79,292.79
4/4/1,TP4 PP4,64,4,2048,100.35,34.27,292.79
4/4/1,TP4 PP4,128,8,2048,94.85,32.4,292.79
8/1/1,TP8 PP1,16,2,2048,98.8,33.74,292.79
8/1/1,TP8 PP1,32,4,2048,99.25,33.9,292.79
8/1/1,TP8 PP1,64,8,2048,86.0,29.37,292.79
8/1/1,TP8 PP1,128,16,2048,76.15,26.01,292.79
8/2/1,TP8 PP2,16,1,2048,93.2,31.83,292.79
8/2/1,TP8 PP2,32,2,2048,91.7,31.32,292.79
8/2/1,TP8 PP2,64,4,2048,81.35,27.78,292.79
8/2/1,TP8 PP2,128,8,2048,73.6,25.14,292.79
8/4/1,TP8 PP4,32,1,2048,79.75,27.24,292.79
8/4/1,TP8 PP4,64,2,2048,67.55,23.07,292.79
8/4/1,TP8 PP4,128,4,2048,68.0,23.22,292.79
