config,START-3/5,compute_to_compute_precision,communication_to_communication_precision,communication_to_compute_precision,compute_to_communication_precision,between_compute_and_communication_precision,original_precision
MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3,0.6143020162899299,0.9586582969550371,0.7787652922744932,0.7395768773657854,0.6198672608985631,0.9586582969550371
MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5,0.5970439482605847,0.9631874681287973,0.7996975994943248,0.7521781935971739,0.6037282472177181,0.9631874681287973
MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3,0.5423437939994392,0.9481829147745037,0.7514891913142927,0.7065895012911559,0.5504325198256459,0.9481829147745037
MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5,0.6157479858796882,0.969130229477729,0.8682737456132803,0.8079033045964744,0.6674460958184854,0.969130229477729
MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3,0.5895171496961455,0.9381389661817329,0.87329667104855,0.7462138684448216,0.6324118807815897,0.9381389661817329
MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5,0.5805494502986923,0.9301523414880364,0.8760233625440185,0.7483159784956865,0.6351795912250726,0.9301523414880364
MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3,0.5322462681223161,0.9635790317839471,0.8782576585761729,0.8135002918738803,0.6800734885396201,0.9635790317839471
MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5,0.6181430719168926,0.9971777687726109,0.8365177052967474,0.780100415558795,0.638577159341002,0.9971777687726109
MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3,0.5901839812466674,0.9623804927744187,0.8440964757075203,0.7756884771930723,0.6389090479628556,0.9623804927744187
MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5,0.5145520658997016,0.96384474289378,0.8525318728105526,0.7847476728399516,0.648251699795138,0.96384474289378
MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3,0.5753000073070457,0.9731514806728129,0.8440179129315419,0.706661967175048,0.6012652325169587,0.9731514806728129
MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5,0.5247280894869383,0.9925868237691244,0.7926185660772277,0.6677115231230645,0.5496781091635914,0.9925868237691244
