config,START-3/5(or START_x),compute_to_compute_precision,communication_to_communication_precision,communication_to_compute_precision,compute_to_communication_precision,between_compute_and_communication_precision,original_precision
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,0.8079551182170248,0.9168288122201408,0.8238247867136087,0.8244659457927523,0.7580635767825082,0.9168288122201408
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,0.8079748322173229,0.9141504137843794,0.8244512758913384,0.8242165485385047,0.7580635767825082,0.9141504137843794
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_26,0.8041874927073105,0.9227618693493322,0.8135895641693978,0.7891697853480635,0.745866621958099,0.9227618693493322
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_27,0.8041334366661843,0.9217231853131059,0.8119843187900383,0.7888873550294856,0.745866621958099,0.9217231853131059
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_26,0.8074869542606646,0.9258409923455275,0.8172276979481838,0.7791473229571,0.7513056807274552,0.9258409923455275
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_27,0.8069528691459797,0.9247507655799543,0.8168457878652157,0.7791226513005537,0.7513056807274552,0.9247507655799543
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_26,0.8032419473519892,0.9258725391947212,0.830111890277752,0.788516485502428,0.7630857293636825,0.9258725391947212
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_27,0.8033862723028864,0.9276394918406752,0.8301769264684655,0.7888162450733343,0.7630857293636825,0.9276394918406752
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_26,0.8036083637342609,0.9301926038324939,0.8336833088137059,0.7958343239709403,0.766289923955958,0.9301926038324939
use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_27,0.8037561380182848,0.9306663096223262,0.8349072551024257,0.7958536215649584,0.766289923955958,0.9306663096223262
